from_id,Bideford Community Hospital,NHS Nightingale Exeter,"Colin Campbell Court, Plymouth",Torbay & South Devon Community Diagnostic Centre,Tiverton - Lowman Way,Okehampton - Exeter Road Industrial Estate,Crediton - Lords Meadow,South Molton - Pathfields,Newton Abbott - Market Walk,Bovey Tracey - Blue Waters,Honiton - Devonshire Road,Exmouth - The Strand,Barnstaple - Archwood Retail Park,Ilfracombe - Wilder Road,Kingsbridge - Fore Street,Tavistock - Drake Road,Holsworthy - Underlane,Paignton - Hyde Road
Torbay 010E,79.78333,30.266666,47.233334,4.25,46.216667,45.1,43.516666,65.183334,16.783333,23.45,41.166668,40.15,77.28333,93.88333,37.15,58.2,72.583336,9.1
Torbay 011E,76.26667,26.75,40.383335,6.616667,42.7,41.583332,40.0,61.666668,13.266666,20.95,37.65,36.616665,73.76667,90.36667,30.3,55.066666,69.066666,2.25
Torbay 011F,74.583336,25.083334,39.5,8.833333,41.016666,39.9,38.333332,59.983334,11.583333,19.266666,35.983334,34.95,72.1,88.683334,29.4,53.0,67.38333,4.45
Torbay 014A,77.53333,28.033333,40.15,8.1,43.983334,42.866665,41.283333,62.933334,14.55,22.233334,38.933334,37.916668,75.05,91.63333,30.066668,54.85,70.333336,2.0333333
Torbay 014B,76.48333,26.966667,38.75,8.55,42.916668,41.8,40.233334,61.883335,13.483334,21.166666,37.866665,36.85,74.0,90.583336,28.183332,53.45,69.28333,0.6333333
Torbay 014C,78.816666,29.316668,39.333332,9.45,45.25,44.133335,42.566666,64.21667,15.883333,22.483334,40.216667,39.166668,76.333336,92.916664,29.25,54.016666,71.61667,2.6
Torbay 014D,76.95,27.433332,37.2,9.55,43.383335,42.266666,40.683334,62.35,13.95,21.633333,38.333332,37.433334,74.45,91.05,27.116667,51.883335,69.75,1.45
Torbay 014E,77.316666,27.8,36.883335,9.8,43.75,42.633335,41.05,62.716667,14.3,20.983334,38.7,37.666668,74.816666,91.416664,26.8,51.583332,70.11667,1.7
Torbay 014F,79.083336,29.583334,39.366665,10.516666,45.533333,44.416668,42.833332,64.5,16.033333,22.75,40.483334,39.45,76.6,93.183334,29.283333,54.05,71.88333,2.6333334
Torbay 018A,85.6,36.083332,43.75,18.65,52.033333,50.916668,49.333332,71.0,22.6,29.266666,46.983334,45.966667,83.1,99.7,31.066668,58.433334,78.4,10.55
Torbay 018B,86.1,36.583332,44.233334,19.133333,52.533333,51.416668,49.833332,71.5,23.1,29.766666,47.483334,46.45,83.6,100.183334,33.066666,58.933334,78.88333,11.05
Torbay 018C,85.316666,35.816666,43.466667,18.366667,51.766666,50.65,49.066666,70.71667,22.316668,28.983334,46.716667,45.683334,82.833336,99.416664,32.666668,58.166668,78.11667,10.266666
Torbay 018D,86.6,37.083332,44.75,19.65,53.033333,51.916668,50.333332,72.0,23.6,30.266666,47.983334,46.966667,84.1,100.7,32.916668,59.433334,79.4,11.55
Torbay 018E,85.816666,36.3,43.966667,18.866667,52.25,51.133335,49.55,71.21667,22.816668,29.483334,47.2,46.183334,83.316666,99.916664,32.15,58.65,78.61667,10.766666
East Devon 001A,68.1,24.616667,66.48333,48.35,28.183332,48.133335,44.983334,47.15,41.566666,38.566666,12.9,33.85,59.25,75.833336,66.51667,66.21667,75.61667,48.633335
East Devon 001B,70.416664,19.85,61.716667,43.583332,30.5,43.366665,40.0,49.466667,36.8,33.8,8.133333,29.083334,61.566666,78.166664,61.75,61.45,70.833336,43.85
East Devon 002A,64.35,14.983334,56.85,38.716667,24.433332,38.483334,35.133335,43.4,31.933332,28.933332,2.8,24.216667,55.516666,72.1,56.883335,56.583332,65.96667,38.983334
East Devon 002B,63.116665,14.666667,56.533333,38.416668,23.216667,38.183334,34.816666,42.166668,31.633333,28.633333,2.5,23.916666,54.283333,70.86667,56.583332,56.266666,65.666664,38.683334
East Devon 002C,64.6,14.65,56.516666,38.383335,24.683332,38.166668,34.8,43.65,31.6,28.6,2.9333334,23.9,55.75,72.35,56.55,56.25,65.65,38.666668
East Devon 002D,64.86667,16.133333,58.0,39.866665,24.95,39.65,36.283333,43.916668,33.1,30.1,3.7833333,25.383333,56.033333,72.61667,58.033333,57.733334,67.13333,40.15
East Devon 003A,64.4,14.1,55.966667,37.833332,24.483334,37.616665,34.25,43.45,31.05,28.05,1.9166666,23.333334,55.55,72.13333,56.0,55.7,65.083336,38.116665
East Devon 003B,65.51667,16.616667,58.483334,40.35,25.6,40.133335,36.766666,44.566666,33.566666,30.566668,4.4333334,25.85,56.666668,73.26667,58.516666,58.216667,67.6,40.616665
East Devon 003C,65.5,14.7,56.566666,38.433334,25.583334,38.216667,34.85,44.55,31.65,28.65,2.5166667,23.933332,56.65,73.25,56.6,56.3,65.683334,38.716667
East Devon 003D,66.0,15.2,57.066666,38.933334,26.083334,38.716667,35.35,45.05,32.15,29.15,3.0333333,24.45,57.15,73.75,57.1,56.8,66.2,39.216667
East Devon 004A,65.63333,13.033334,54.9,36.766666,25.733334,36.55,33.183334,44.7,29.983334,26.983334,7.8333335,22.283333,56.8,73.38333,54.933334,54.633335,64.01667,37.033333
East Devon 007A,78.05,28.583334,70.583336,52.45,38.133335,52.233334,50.65,57.1,45.683334,42.683334,16.966667,32.15,69.2,85.78333,70.63333,70.316666,79.71667,52.733334
East Devon 007B,78.316666,28.85,69.583336,51.45,38.4,51.233334,49.65,57.366665,44.666668,41.666668,17.233334,31.15,69.46667,86.066666,69.61667,69.316666,78.71667,51.733334
East Devon 007C,88.816666,39.35,81.21667,63.083332,48.9,62.85,59.5,67.86667,56.3,53.3,27.733334,48.583332,79.96667,96.55,81.25,80.95,90.333336,63.35
East Devon 007D,77.566666,28.1,69.96667,51.833332,37.65,51.6,48.25,56.616665,45.05,42.05,16.483334,34.083332,68.71667,85.3,70.0,69.7,79.083336,52.116665
East Devon 008A,68.51667,10.316667,52.183334,34.066666,26.766666,33.833332,30.483334,45.733334,27.283333,24.283333,10.033334,14.9,57.85,74.433334,52.233334,51.916668,61.316666,34.333332
East Devon 008B,81.26667,23.066668,64.933334,47.033333,39.516666,46.583332,43.216667,58.483334,40.016666,37.016666,22.783333,29.633333,70.583336,87.183334,64.96667,64.666664,74.05,47.066666
East Devon 008C,69.5,11.3,53.166668,35.033333,27.75,34.816666,31.45,46.716667,28.25,25.25,10.216666,19.716667,58.833332,75.416664,53.2,52.9,62.3,35.316666
East Devon 008D,71.51667,13.316667,55.183334,37.05,29.766666,36.833332,33.466667,48.733334,30.266666,27.266666,10.766666,21.683332,60.833332,77.433334,55.216667,54.916668,64.3,37.333332
